
liibmet	liibmet+V
liikodit	liikodit+V
liikodit	liikot+V
livžžodit	livžut+V
livžžodit	livžžodit+V
loakta	loakta+N
logaheapme	logaheapme+A
logaheapme	lohka+N
logahit	logaheapme+A
logahit	logahit+V
logahit	lohka+N
logahit	lohkat+V
loktestit	loktestit+V
loktestit	loktet+V
lottáš	loddi+N
lottáš	lottáš+N
lovttohallat	loktut+V
lulábealde	lulá#bealde+Adv
lulábealde	lulá#bealde+Po
lulábealde	lulá#bealde+Pr
lunddolaččat	lunddolaš+Comp
lunddolaččat	lunddolaš+Der2
lunddolaččat	lunddolaš+Pl
lunddolaččat	lunddolaš+Sg
lunddolaččat	lunddolaččat+Adv
lunddolaččat	luondu+N
luoitilit	luoitilit+V
luoitilit	luoitit+V
lusttuheapme	lusttuheapme+A
lusttuheapme	lustu+N
láhpi	láhpi+N
láhpi	láhppit+V
láktadit	láktadit+V
lásset	lásset+V
lávke	lávke+N
lávke	lávket+V
magneahtta	magneahtta+N
maŋemussii	maŋemus+A
maŋemussii	maŋemussii+Adv
maŋábealle	maŋá#bealle+N
meahcástit	meahcástit+V
mealgadis	mealgadis+Adv
mealgadis	mealgat+A
mielddistit	mielddistit+V
mobiltelefuvnna	mobil#telefuvdna+N
moddjestit	moddjestit+V
moddjestit	moddjet+V
moktege	moktege+Adv
monnet	monnet+V
muitát	muiti+N
muitát	muitit+V
muitát	muitáhit+V
muitát	muitát+V
mulggádit	mulggádit+V
muslima	muslim+N
muslima	muslima+N
mánnálaš	mánná+N
mánnálaš	mánnálaš+A
mánnálaš	mánnálaš+N
nanosmahttit	nanosmahttit+V
nanosmahttit	nanosmit+V
njeaiga	njeaiga+Po
njealječiegat	njealje#čiegat+N
njealječiegat	njeallje+Num
njivllas	njivllas+A
njurggonas	njurggonas+N
njágahit	njágahit+V
njágahit	njáhkat+V
njáigu	njáigu+N
njáigu	njáigut+V
njávkkastit	njávkat+V
njávkkastit	njávkkastit+V
nohkastit	nohkastit+V
nohkastit	nohkkat+V
normála	normála+A
nuorttabealde	nuortta#bealde+Adv
nuorttabealde	nuortta#bealde+Po
nuorttabealde	nuortta#bealde+Pr
nuppes	nuppes+Adv
oadjudit	oadjudit+V
oahpadit	oahpadit+V
oahpadit	oahppat+V
oanebodda	oane#bodda+N
oarjjil	oarjjil+Adv
oađđi	oađđi+N
oađđi	oađđit+V
