bohtaneapmi_N_opphovning
geaidnoravda_N_vegkant
gealboguovddáš_N_kompetansesenter
geasseidja_N_sommernatt
giđđabiegga_N_vårvind
giđđaeahket_N_vårkveld
giđđaáibmu_N_vårluft
goalkejávri_N_vindstille vann
guolgahevro_N_pelshårfokk
haŋŋábárra_N_havellepar
hupmanvuorru_N_tur til å snakke
ijabealle_N_skyggeside
illuganjal_N_gledeståre
jeaggegáddi_N_myrbredde
jearaldatmearka_N_spørsmålstegn
juolgedeahkki_N_lårmuskel
jurddamáilbmi_N_tankeverden
kondomačoakkáldat_N_kondomsamling
leaikkastallanluondu_N_spøkefull av natur
lieđđegirji_N_blomsterbok
loahpahanfeasta_N_avslutningsfest
loahppasárdni_N_avslutningstale
lunttaguovttos_N_de to guttene
luonddufága_N_naturfag
láhttenluondu_N_skuespillertalent
láselihtti_N_glassbeholder
lávkerássi_N_løkvekst
lávlunjietna_N_sangstemme
lávostallansadji_N_teltplass
lávvomuorra_N_teltstang til lavvo
matematihkkaváttisvuohta_N_matematikkproblem
mašinfievru_N_mekanisert transportmiddel
meahccegeaidnu_N_skogsveg
mearraskuvla_N_havskole
mearridanváldi_N_beslutningsmyndighet
miehteluohkká_N_nedoverbakke
muohtabiedju_N_snøhule
máksinkássa_N_betalingskasse
málenbeavdi_N_malebord
málenbierggas_N_maleutstyr
niehkoboddu_N_drømmestund
niehkomáilbmi_N_drømmeverden
njuovččageahči_N_tungespiss
njálbmečiehka_N_munnvik
oaggunáigi_N_fisketid
oahpaheaddjelatnja_N_lærerrom
oahppanbáiki_N_lærested
oahppodilli_N_læresituasjon
oaksegeahči_N_kvisttupp
ohppiidráđđi_N_elevråd
olggobealle_N_ytterside
olgobivttas_N_uteklær
olgofeaskkir_N_yttergang
olgouksa_N_ytterdør
ovdasiidogovva_N_forsidebilde
raddeboalddáhat_N_halsbrann
rasismasátni_N_rasismeord
rehketgirji_N_regnebok
rudnegáddi_N_ishullbredde
ruovdecuoŋu_N_jernskare
ruovtturiika_N_hjemland
ráhkisvuođamoraš_N_kjærlighetssorg
rámburšillju_N_butikkgårdsplass
rávisolmmoš_N_voksen
sealggebealle_N_bakside
servodatfága_N_samfunnsfag
sihkkelstivrran_N_sykkelstyre
silkebalva_N_perlemorsky
skuvlabusse_N_skolebuss
skuvladuođaštus_N_skolevitnemål
skuvlaloahpaheapmi_N_skoleavslutning
skuvlanurki_N_skolehjørne
skuvlarahčan_N_skolestrev
skuvlavázzin_N_skolegang
soahtefáŋga_N_krigsfange
soahtegovva_N_krigsbilde
speajalgovva_N_speilbilde
tennjenbreahtta_N_tegnebrett
tennjenbábir_N_tegnepapir
teáhterhárjehallan_N_teaterøving
teáhteroahppu_N_teaterutdanning
teáhterrátnu_N_teaterteppe
teáhtersalla_N_teatersal
uksagaska_N_døråpning
ullobuvssat_N_ullbukse
veaigeroađđi_N_skumringsrøde
viessoráfi_N_husfred
viessoseaidni_N_husvegg
viidnesmáhkka_N_brennevinsmak
vuodjalasta_N_tettegras
vuojadanbáiki_N_svømmeplass
vuojadandiibmu_N_svømmetime
vuostemiella_N_motvillighet
váhnenguovttos_N_begge foreldrene
váibmovuođđu_N_hjertebunn
váldorolla_N_hovedrolle
várrenjunni_N_utløper av et fjell
várrečohkka_N_fjelltopp
álbmotvašálaš_N_folkefiende
árraeahket_N_tidlig kveld
čakčabeaivi_N_høstdag
čakčaeahket_N_høstkveld
čakčaseavdnjat_N_høstmørke
čalbmegeahčastat_N_øyekast
čalbmeravkaleapmi_N_øyeblikk
čalbmečiehka_N_øyekrok
čoarveboallu_N_hornknapp
čoarvehearva_N_hornpynt
čáhcebohtal_N_vannflaske
čáhcegiera_N_vannskorpe
čáhcehádja_N_vannlukt
čállinbeavdi_N_skrivebord
