ánnuitehtadoaba	1. annuitetsbegrep;  
nagirlaboratoriija	1. søvnlaboratorie;  
vahátlaboratoriija	1. skadelaboratorie;  
loboratoriija	1. loboratorium;  
territoriija	1. territorium;  
porteeeepotpurriija	1. porteeeepotpurri;  
synestesiija	1. synestesie;  
batiija	1. byråkrati;  
profetija	1. profeti;  
festiváldoarjja	1. festivalstønad;  
medállja	1. medalje;  
oahppiidlatnja	1. lærerrom;  
seminárlatnja	1. seminarrom;  
sanitárlatnja	1. sanitærrom;  
gárja	1. kråke;  
obdukšuvdnalantja	1. obduksjonsstue;  
kája	1. kai;  
kinemateahka	1. kinematek;  
medieteahka	1. medietek;  
pinakoteahka	1. pinakotek;  
hypoteahka	1. hypotek;  
glyptoteahka	1. glyptotek;  
kartoteahka	1. kartotek;  
sámiláhka	1. samelov;  
minerálláhka	1. minerallov;  
vearrodahkoláhka	1. kriminallov;  
toppláhka	1. topplov;  
sosiálbálvalusláhka	1. sosialtjenesteloven;  
gáibideaddjeriika	1. pretensjonsmakt;  
industririika	1. industriland;  
paprika	1. paprika;  
guoktgeahpesseahkka	1. halvparten så lett sekk;  
kloahkka	1. kloakk;  
šahkka	1. sjakk;  
kulihkka	1. kolikk;  
spontánmotorihkka	1. spontanmotorikk;  
poletihkka	1. politikk;  
nissonapolitihkka	1. kvinnepolitikk;  
mediepolitihkka	1. mediepolitikk;  
guovllopolitihkka	1. områdepolitikk;  
rekrutteringspolitihkka	1. rekrutteringspolitikk;  
matemátihkka	1. matematikk;  
pragmátihkka	1. pragmatikk;  
fuohkka	1. fokk;  
boblejáhkka	1. boblejakke;  
vuoncáváhkka	1. kyllingklubbe;  
gaffaltrukka	1. gaffeltruck;  
muohtagielka	1. snøkjelke;  
tanka	1. tanka;  
oláhusmearka	1. milepel;  
muohtaparka	1. snøpark;  
gurka	1. agurk;  
suvrragurka	1. sylteagurk;  
preambela	1. prembel;  
parallela	1. parallell;  
instrumentpanela	1. instrumentpanel;  
bonjusmakrealla	1. makrell i tomatsaus;  
palla	1. palle;  
boalsttartunella	1. putetunnel;  
morella	1. morell;  
konferánsahotella	1. konferansehotell;  
gažadanprohtokolla	1. forhørsprotokoll;  
eananprohtokolla	1. utmålsprotokoll;  
ampulla	1. ampull;  
statsmonopola	1. statsmonopol;  
teflongásterola	1. teflonkasserolle;  
bonjisjuvla	1. skruedrev;  
granatminerála	1. granatmineral;  
brillefutterála	1. brillefutteral;  
johtočála	1. rundskriv;  
láhttidásidoaibma	1. aktivitet på gulvnivå;  
teflonfoarbma	1. teflonform;  
lieđbma	1. åreblad;  
áirolieđbma	1. åreblad;  
atopalašeksema	1. atopisk eksem;  
inertialsystema	1. inertialsystem;  
vokalsystema	1. vokalsystem;  
signalsystema	1. signalsystem;  
karbonsystema	1. karbonsystem;  
metersystema	1. metersystem;  
koordinatsystema	1. koordinatsystem;  
prohibitivsystema	1. prohibitivsystem;  
plomma	1. plomme;  
kondolansetelegrámma	1. kondolansetelegram;  
paralleallográmma	1. parallellogram;  
aroma	1. aroma;  
orgasma	1. orgasme;  
sosialrealisma	1. sosialrelisme;  
konvenšuvdnalisma	1. konvensjuvnalisme;  
sosialliberalisma	1. sosialliberalisme;  
monopolkapitalisma	1. monopolkapitalisme;  
senkapitalisma	1. senkapitalisme;  
seinkapitalisma	1. seinkapitalisme;  
statskapitalisma	1. statskapitalisme;  
privatkapitalisma	1. privatkapitalisme;  
privatbilisma	1. privatbilisme;  
ekspressionisma	1. ekspresjonisme;  
lokalpatriotisma	1. lokalpatriotisme;  
lobyisma	1. lobbyisme;  
nazisma	1. nazisme;  
trampoliidna	1. trampoline;  
gelatiidna	1. gelatin;  
našovdna	1. nasjon;  
mišovdna	1. misjon;  
kommišovdna	1. kommisjon;  
pearmišovdna	1. permisjon;  
regiuvdna	1. region;  
spiuvdna	1. spion;  
sitruvdna	1. sitron;  
vokalkombinašuvdna	1. vokalkombinasjon;  
orgánisašuvdna	1. organisasjon;  
totálstašuvdna	1. totalstasjon;  
industrikonsešuvdna	1. industrikonsesjon;  
mišuvdna	1. misjon;  
pearbmišuvdna	1. permisjon;  
pearmišuvdna	1. permisjon;  
trasmišuvdna	1. transmisjon;  
mororeakšuvdna	1. mororeksjon;  
politiakšuvdna	1. politiaksjon;  
presumšuvdna	1. presumsjon;  
peršuvdna	1. person;  
konsultášuvdna	1. konsultasjon;  
stášuvdna	1. stasjon;  
pumpastášuvdna	1. pumpestasjon;  
porselena	1. porselen;  
domena	1. domene;  
hátna	1. kran;  
fauna	1. fauna;  
hávvarriedvna	1. havregryn;  
dilleplána	1. situasjonsplan;  
areálplána	1. arealplan;  
biotopa	1. biotop;  
dovddidusoahppa	1. epistemologi;  
botnedáhppa	1. bunntapp;  
tara	1. tara;  
iisamearra	1. ishav;  
bonjisgurra	1. spiralspor;  
bonjisbovra	1. spiralbor;  
kantovra	1. kontor;  
ovdakantovra	1. forkontor;  
skuvlakantovra	1. skolekontor;  
sosiálakantovra	1. sosialkontor;  
ruhtakantovra	1. kassakontor;  
ruovttuveahkkekantovra	1. hjemmehjelpskontor;  
registrerenkantovra	1. registreringskontor;  
eananvuovdinkantovra	1. jordsalgskontor;  
váráiduhttinkantovra	1. forsyningskontor;  
oadjokantovra	1. trygdekontoret;  
kulturkantovra	1. kulturkontoret;  
hálddahuskantovra	1. administrasjonskontor;  
