ruhtarámma	n	pengeramme	f
bušeahttarámma	n	budsjettramme	f
áigerámma	n	tidsramme	f
centigrámma	n	centigram	n
árvobuvttadanprográmma	n	verdiutviklingsprogram	n
geahččaladdanprográmma	n	orienteringsprogram	n
ovddidanprográmma	n	utviklingsprogram	n
dutkanprográmma	n	forskingsprogram	n
lonohallanprográmma	n	utvekslingsprogram	n
čállindárkkistanprográmma	n	skrivekorrekturprogram	n
vitaliserenprográmma	n	vitaliseringsprogram	n
rekrutterenprográmma	n	rekrutteringsprogram	n
ovdánahttinprográmma	n	utviklingsprogram	n
divvunprográmma	n	korrekturprogram	n
eamiálbmotprográmma	n	urfolksprogram	n
álgoálbmotprográmma	n	urfolksprogram	n
hektográmma	n	hektogram	n
šiehtadusrámma	n	avtaleramme	f
journalisma	n	journalistikk	m
sosiolingvisma	n	sosiolingvistikk	m
ritma	n	rytme	m
algoritma	n	algoritme	m
trauma	n	traume	n
petroleuma	n	petroleum	m
kontinuma	n	kontinuum	n
kostyma	n	kostyme	n
steariidna	n	stearin	m
telemedisiidna	n	telemedisin	m
terppetiidna	n	terpentin	n
serpentiidna	n	serpentin	n
ovttasbargorutiidna	n	samarbeidsrutine	f
dieđáhusrutiidna	n	informasjonsrutine	f
datamašiidna	n	datamaskin	m
gođđinmašiidna	n	heftemaskin	m
dihtormašiidna	n	datamaskin	m
enklitihkašuvdna	n	enklise	m
multiplikašuvdna	n	multiplikasjon	m
identifiserenoperašuvdna	n	identifiseringsoperasjon	m
illustrašuvdna	n	illustrasjon	m
transkribšuvdna	n	transkribsjon	m
doaibmakonsešuvdna	n	virksomhetskonsesjon	m
stuoradiggeproposišuvdna	n	stortingsproposisjon	m
stuorradiggeproposišuvdna	n	stortingsproposisjon	m
subtrakšuvdna	n	subtraksjon	m
nž-kontrakšuvdna	n	nž-kontraksjon	m
rekonstrukšuvdna	n	rekonstruksjon	m
eamiálbmotdimenšuvdna	n	urfolksdimensjon	m
intenšuvdna	n	intensjon	m
boazoguohtunkonvenšuvdna	n	reinbeitekonvensjon	m
eamiálbmotkonvenšuvdna	n	urfolkskonvensjon	m
betaveršuvdna	n	betaversjon	m
suopmandistribušuvdna	n	dialektdistribusjon	m
loahppakonklušuvdna	n	sluttkonklusjon	m
tennisbána	n	tennisbane	m
embehtaorgána	n	embetsorgan	n
