háválasbuhtadas _ engangserstatning
konsešuvdnageatnegas _ konsesjonspliktige
adopšuvdna _ adopsjon
adopšuvdnadohkkeheapmi _ adopsjonsbevillingen
adopšuvdnaláhka _ adopsjonsloven
ahtanuššanvejolašvuohta _ utviklingsmulighet
arvvosmahttit  _ stimulere
badjálas _ overlappende
badjáneaddji _ oppstigende
bajiidárvvošteapmi _ overskjønn
bargovuohki _ framgangsmåten
beaivefálaldat _ dagtilbud
bearráigeahččan _ tilsyn
bearráigeahčču _ tilsyn
siskkáldas bearráigeahččan _ internkontroll
dearvvašvuođabearráigeahčču _ helsetilsyn
biebmoruhta _ bidrag
biebmoruoktománnná _ fosterhjemsbarn
biebmošibit _ husdyr
birasdáhpáhus _ omstendighet
birasvahát _ skade på miljøet
boađáhat _ atkomst
bohkat _ utvinne (petrolium)
buhtadasgeasku _ erstatningsplikt
buhtadasovddasvástádus _ erstatningsansvar
buvttadanhivvodat _ produksjonstørrelse
bággenvuohki _ tvangstiltak
bággensáhkku _ tvangsmulkt
bággolonistanmearrádus _ ekspropriasjonsvedtaket
bággolonistanlohpi _ ekspropriasjonstillatelse
bággolonistanášši _ ekspropriasjonssak
bággolonisteapmi _ ekspropriasjon 
bággolotnunbuhtadasláhka _ ekspropriasjonserstatningslova
bággolotnunlohpi _ ekspropriasjonstillatelse
bággolotnunláhka _ oreigningslova
bággolotnunnjuolggadus _ ekspropriasjonsregel
bággopántideapmi _ tvangsutlegg
bálvalusmáksu _ Gebyr
bázahasduvdni _ avgangsdeponi
daguhanšiehtadus _ avtale om overdragelse
daguhit _ overdra
njuolga dahkamuš  _ direkte kontakt
dajaldat _ formulering
dearvvašvuođabargiidláhka _ helsepersonelloven
dearvvašvuođabearráigeahčču _ helsetilsyn
dearvvašvuođabálvalus _ helsetjeneste
dearvvašvuođasuodjalus _ helsevern
dieđihangeatnegasvuohta _ varslingsplikt
dieđiheaddji _ melder
diggelogahallat _ tinglyse
dilálašvuohta _ forhold
divššodeapmi _ behandling
diŋga _ gjenstand
doahttaleapmi _ etterlevelse
doahttalit _ etterleve
doaibmagohččun _ pålegg
doaibmaohcamuš _ tiltakssøknad
doaibmaevttohus _ begjæring om tiltak
doaibmakonsešuvdna _ driftskonsesjon
doaibmaraporta _ driftsrapport
doaibmaváillat _ funksjonshemmet
doaimmahuvvat _ utføres
doalahanáigi _ tilbakeholdelsesfrist
doarjjadoaibma _ støttetiltak
doarjjaolmmoš _ støttekontakt
dohkkehangáibádus _ Krav om godkjenning
dohkkehanortnet _ godkjenningsordning
dorvoohcan _ asylsøknad
dorvoohcci _ asylsøker
dorvvolašvuođabargu _ sikringstiltak
dovddusindahkat _ Forkynne
duddenveahkki _ avlastningstiltak
duopmostuolloláhka _ domstollov
duođašteapmi _ påvisning
duođaštit _ påvise
duođaštusgielddus _ bevisforbud
duođaštusčoavdit _ ---bevisfritak
dáhkádusduođašteapmi _ sikkerhetsstillelsen
dárboárvvoštallan _ skjønn av behov
dárkkistanvuogádat _ internkontrollsystem
eahpegovttolaš _ urimelig
ealihandoarjja _ underhold
ealihanfáldi _ bidragsfogd
ealihanruhta _ oppfostringsbidrag
eallindilli _ levekår
eanaeaiggátdiva _ grunneieravgift
eanageavaheaddji _ brukeren av grunnen
eanagáhppálat _ areal
eastadandoaibma _ forebyggende virksomhet
eastašuvvat _ bli forhindret
eretváldin _ Fratakelse
evttolaš _ betinget
fuolaváldinmearrádus _ omsorgsovertakelse
fuolaváldinsirdin _ omsorgsovertakelse
fuolaváldin _ omsorgsovertakelse
fuolahandoaibma _ omsorgstiltak
fuolahanguovddáš _ omsorgssenter
fuolahanovddasvástádus _ omsorgsansvar
fuolahanváili _ omsorgssvikt
fuolahusguovddáš _ omsorgssenter
fylkanammagoddi _ fylkesnemnda
fylkkanammagoddi _ fylkesnemnda
fylkkadássi _ fylkesnivå
fágadovdi _ fagkyndige
fáhkkadilli _ akuttsituasjon
fámohuhttingáibádus _ krav om opphevelse
fámohuhttit _ oppheve
fápmuibidjan _ Iverksetting
geahččaladdanbáiki _ forsøkssted
geahččaladdandoaibma _ forsøksvirksomhet
geahččaladdanguovlu _ forsøksområde
geahččaladdanovttadat _ forsøksenhet
geahččalanroggan _ prøveuttak
goluidbuhtadus _ refusjon
gozihandivat _ tilsynsgebyr
gozihandoaibma _ tilsyn
gozihanlávdegoddi _ tilsynsutvalg
gullevašvuohta _ tilknytning
guorahallanvuoigatvuohta _ undersøkelsesrett
gustojeaddji _ gjeldende
gávdnostupmi _ forekomst
gávpevuođđudus _ selskap
habilitehta _ habilitet
heahtemearrádus _ akuttvedtak
hoahppoášši _ hastesak
iskkadeapmi _ undersøkelse
njieddji _ nedstigende
nággu _ tvist
rievdadannjuolggadus _ omgjøringsregel
rokkahat  _ bergvelt
ruovttoluottadiehtu _ tilbakemelding
soahpameahttunvuohta _ uenighet
váivvádus  _ ulempe
váldogávpevuođđudus _ morselskap
