sámegieloahppu ___ n ___ samiskundervisning
bargobeaivi ___ n ___ arbeidsdag
reserváhtta ___ n ___ reservat
optimista ___ n ___ optimist
fágagirji ___ n ___ fagbok
dráma ___ n ___ drama
ruvke ___ n ___ bruk
ruoššabealle ___ n ___ russisk side
kapasitehtta ___ n ___ kapasitet
kandidáhtta ___ n ___ kandidat
davvisápmi ___ n ___ nordsamisk
boazoálbmot ___ n ___ reindriftssame
vuođđokursa ___ n ___ grunnkurs
mediaplána ___ n ___ medieplan
guovddášsearvi ___ n ___ sentralorganisasjon
ambassadevra ___ n ___ ambassadør
sávzadoalli ___ n ___ sauebonde
skuvlaválga ___ n ___ skolevalg
musihkkajoavku ___ n ___ musikkgruppe
loahppagilvu ___ n ___ finale
bieggapárka ___ n ___ vindmøllepark
ruoŧabealle ___ n ___ svensk side
ollesčoahkkin ___ n ___ plenumsmøte
olgomáilbmi ___ n ___ utomverdenen
nuorttanáste ___ n ___ øststjerna
morála ___ n ___ moral
gaskamearra ___ n ___ gjennomsnitt
čáhcevuoigatvuohta ___ n ___ vannrettighet
gonagasreabbá ___ n ___ kongekrabbe
finnmárkolaš ___ n ___ finnmarking
šovva ___ n ___ show
seaguhus ___ n ___ blanding
oaivečálus ___ n ___ lederartikkel
lohkkiidreive ___ n ___ leserbrev
buolašgráda ___ n ___ kuldegrad
sámefoanda ___ n ___ samefond
sámedikkeáirras ___ n ___ sametingsrepresentant
stáhtus ___ n ___ status
stuoradiggedieđáhus ___ n ___ stortingsmelding
ráfibálkkašupmi ___ n ___ fredspris
loahppačiekčan ___ n ___ finale
klienta ___ n ___ klient
kalenddar ___ n ___ kalender
buletiija ___ n ___ politi
giellageavaheapmi ___ n ___ språkbruk
riikkadássi ___ n ___ nasjonalplan
máilmmemeašttir ___ n ___ verdensmester
giellabargu ___ n ___ språkarbeid
fágabiras ___ n ___ fagområde
beaivedikšu ___ n ___ dagpleie
nubbingiella ___ n ___ andrespråk
doaimmahushoavda ___ n ___ administrativ leder
universiteahtta ___ n ___ universitet
skuvlavázzin ___ n ___ skoleelev
parasihtta ___ n ___ parasitt
elefánta ___ n ___ elefant
eallinláibi ___ n ___ levebrød
boastakántuvra ___ n ___ postkontor
ruvdnaprinsa ___ n ___ kronprins
