 138 oamastit V* TV Der2 Actor
 138 oaggungilvu
 138 guhkku
 138 bossu
 137 fágaolmmoš
 136 vuostálasti
 136 riddoguovlu
 136 oassi N* Der1 Der/Dimin
 135 vuoruhit V* TV Der2 Der/eapmi
 135 bajásšaddan
 134 njiŋŋelas
 133 álgit V* IV Der2 Actor
 133 rahčamuš
 133 bággonjuovvan
 132 čuojaheaddji
 132 márki
 131 ráđđelahttu
 131 ruhtajuolludeapmi
 131 oahppat V* TV Der3 Der/n
 131 oahpahusguovddáš
 131 modealla G3
 131 johtti
 131 dánsa
 131 bálggus
 131 buresboahtin
 130 sámevuohta
 130 studio
 130 eksámen
 130 duohki
 129 riikkastivra
 128 tabealla G3
 128 penšunista
 128 gielddaráđđehus
 128 báhčči
 128 burru G3
 128 buhtisnieida
 128 a-joavku
 127 meahcástit V* IV Der2 Der/eapmi
 127 dáiddačájáhus
 126 reportáša
 126 hehttehus
 126 dánsut V* TV Der3 Der/n
 125 stivrenjoavku
 125 ovttasráđđi
 125 mánáidruoktu
 125 kunddar
 125 geasis
 125 bána
 124 ássat V* IV Der3 Der/n
 123 maŋŋi
 122 ráidočiekčan
 122 oamastanvuoigatvuohta
 122 kveana
 122 guovda N* Der1 Der/Dimin
 122 dutkamuš
 121 meahccebálvalus
 120 rihkkun
 120 riemut
 119 rapporta
 119 ovttasbargošiehtadus
 119 ovdánahttit V* TV Der3 Der/n
 119 leatna
 119 jury
 119 heargegilvu
 118 linjá
 118 eahpesihkarvuohta
 118 doarrut V* TV Der3 Der/n
 117 čuožžut V* IV Der2 Actor
 117 ákkastallat V* IV Der3 Der/n
 117 njuovvangáibádus
 116 váilut V* IV Der2 Actor
 116 uhcastállu N* Der1 Der/Dimin
 116 suorggahit V* TV Der2 Der/ahtti Actor
 116 skorpiuvdna
 116 norga
 116 luossagilvu
 116 kapteaidna
 116 jahkebealle
 115 máksit V* TV Der2 Actor
 115 musihkar
 115 justisministtar
 115 johttisápmi
 115 giellaruhta
 115 dearvvas A* Der3 Der/vuohta
 114 suohtastallat V* IV Der3 Der/n
 114 oahpahit V* TV Der2 Der/eapmi
 114 kulturguovddáš
 114 grámma
 114 goahtebeallji
 114 fylkagielda
 113 meahcceráđđehus
 113 luonddugáhttenlihttu
 113 konfirmánta
 113 boahttevuohta
 113 beassan
 112 siseanan
 112 jalla G3
 112 hárjáneapmi
 112 goddin
 112 geahččat V* TV Der3 Der/n
 112 gaskkamuddo
 112 anr
 111 ráhkkanit V* IV Der2 Der/eapmi
 111 mehtar
 111 jugus
 111 digáštallat V* TV Der3 Der/n
 110 válgabire
 110 fokus
 109 stivračoahkkin
 109 ruovttuguovlu
 109 politihkár
 109 interneahttasiidu
 109 gávdnat V* TV Der3 Der/n
 109 dánsu
 108 rábbi
 108 máttasápmi
 108 mánáidgárdesadji
 108 gássa G3
 108 dassat V* TV Der2 Actor
 108 birasgáhttenministtar
 107 viehkat V* IV Der3 Der/n
 107 láhttenvuohki
 107 kulturárbi
 106 sámecup
 106 ovdamearkkadihtti
 106 mohtorsearvi
 106 jáhki
 106 jugešvuohta
 105 čuohtejahki
 105 sykkel
 105 leaira
 105 kulturdoaibma
 105 historjásearvi
 105 dáiddárráđđi
 105 boazodoalloeiseváldi
 105 astoáigi
 104 veagalváldin
 104 mátkeealáhus
 104 mandáhta
 104 leansmánnikántuvra
 103 sámeradio
 103 mirko
 103 guolástus
 103 gielladilli
 103 eanandoalloministtar
 102 rumbu
 102 minoritehtta
 102 logaldallat V* IV Der2 Actor
 101 stádačálli
 101 stuorat
 101 miellačájáhus
 101 kulturdepartemeanta
 101 jienastuslogus
 100 váldočálli
 100 luossaveajet
 100 kulturvahkku
 100 fylkadiggi
 100 dohkkehit V* TV Der2 Der/eapmi
  99 sámemánná
  99 masai
  99 kro
  99 kafea
  99 bellodatustit
  98 álgit V* IV Der3 Der/n
  98 áidu
  98 ruhtadit V* TV Der2 Actor
  98 nannet V* TV Der3 Der/n
  98 girjjáš
  98 bidjan
  97 áŋgiruššat V* IV Der3 Der/n
  97 rabas A* Der3 Der/vuohta
  97 kruvdno
  97 bargolávdegoddi
  96 čakčafestivála
  96 álggahit V* TV Der2 Der/eapmi
  96 vearrát
  96 skábmagovva
  96 meahcástit V* IV Der2 Actor
  96 ihtit V* IV Der2 Actor
  96 guovllukantuvra
  96 eanandoalut
  96 ealáhussearvi
  95 justisdepartemeanta
  95 jahkedieđáhus
  94 ruvkefitnodat
  94 fierca
  94 báhčit V* TV Der3 Der/n
  94 arena
  93 olggobealle
  93 luossagonagas
  93 eallinahki
  93 buktit V* TV Der2 Actor
