kámpa ___ n ___ 
hálidus ___ n ___ 
gilvoheargi ___ n ___ 
davvinorga ___ n ___ 
válgaboahtu ___ n ___ 
skiipagurra ___ n ___ 
rigearra ___ n ___ 
reportár ___ n ___ 
luovosbeana ___ n ___ 
iskadeapmi ___ n ___ 
gižžu ___ n ___ 
dálvemárkan ___ n ___ 
60-lohku ___ n ___ 
suoivva ___ n ___ 
rubel ___ n ___ 
revy ___ n ___ 
oalgejohka ___ n ___ 
oahpposuorgi ___ n ___ 
kárten ___ n ___ 
iešsoardin ___ n ___ 
erehus ___ n ___ 
bárefuoš ___ n ___ 
aktivista ___ n ___ 
vuorkádávvir ___ n ___ 
sođđi ___ n ___ 
sohti ___ n ___ 
njuovvanbázahus ___ n ___ 
eksamen ___ n ___ 
vihaheapmi ___ n ___ 
unnoraš ___ n ___ 
techno ___ n ___ 
sámicup ___ n ___ 
jávkkus ___ n ___ 
boaresolmmoš ___ n ___ 
bingo ___ n ___ 
balánsa ___ n ___ 
sámiálbmot ___ n ___ 
rápporta ___ n ___ 
ránná ___ n ___ 
republihkka ___ n ___ 
loahku ___ n ___ 
hávlár ___ n ___ 
generála ___ n ___ 
dáiddadáhpáhus ___ n ___ 
dáiddaduodji ___ n ___ 
dollar ___ n ___ 
detálja ___ n ___ 
bargonákca ___ n ___ 
audition ___ n ___ 
akšunista ___ n ___ 
ávvubeaivi ___ n ___ 
sámiguovlu ___ n ___ 
rájus ___ n ___ 
pop ___ n ___ 
piano ___ n ___ 
majoritehta ___ n ___ 
loahppavuorru ___ n ___ 
karaoke ___ n ___ 
heaibu ___ n ___ 
gollegiella ___ n ___ 
girdin ___ n ___ 
fierbmebivdu ___ n ___ 
beallefinála ___ n ___ 
aktevra ___ n ___ 
čáhput ___ n ___ 
váldokántuvra ___ n ___ 
plánenbargu ___ n ___ 
olmmošárvu ___ n ___ 
notáhta ___ n ___ 
nearva ___ n ___ 
meassu ___ n ___ 
humor ___ n ___ 
guovlodepartemeanta ___ n ___ 
gaskamuddu ___ n ___ 
fenomena ___ n ___ 
vuođđooaidnu ___ n ___ 
vuođđo ___ n ___ 
sáddenlohpi ___ n ___ 
ovdalašáigi ___ n ___ 
littar ___ n ___ 
kolonista ___ n ___ 
juogadeapmi ___ n ___ 
juhkančáhci ___ n ___ 
gávpemárkan ___ n ___ 
gutnabađoš ___ n ___ 
guorahallanguovddáš ___ n ___ 
eanageavaheapmi ___ n ___ 
eallenahki ___ n ___ 
driftsenheta ___ n ___ 
bismagoddi ___ n ___ 
vulosguovlu ___ n ___ 
vaksiidna ___ n ___ 
suođđan ___ n ___ 
suodjalanplána ___ n ___ 
romaniálbmot ___ n ___ 
riikageaidnu ___ n ___ 
paradoksa ___ n ___ 
mediaásahus ___ n ___ 
lávke ___ n ___ 
