Engelasgiella	Suomagillii guhkes ja oanehaš (gáldu: Kotus)	Ruoŧagillii (utrikes namnbok, regeringen.se)	Dárogillii (bokmål). gáldu: Språkrådet)	Sámi GG mearkkašumit	Ávžžuhuvvon (dohkkehuvvon)		Sojaheapmi (Gen sing, ill sing)	Lassimearrádus	Čilgehus
Myanmar	Myanmar; Myanmarin liiton tasavalta	Myanmar (Burma); Republiken Unionen Myanmar	Myanmar el. Burma; Unionen Myanmar	Norggabealde leat bálddalashámit.	Myanmar	Myanmar lihtu dásseváldi	Myanmar, Myanmarii		
Namibia	Namibia; Namibian tasavalta	Namibia; Republiken Namibia	Republikken Namibia		Namibia	Namibia dásseváldi	Namibia, Namibiai		
Nauru	Nauru; Naurun tasavalta	Nauru; Republiken Nauru	Nauru; Republikken Nauru		Nauru	Nauru dásseváldi	Nauru, Naurui		
Nepal	Nepal;Nepalin demokraattinen liittotasavalta	Nepal; Demokratiska förbundsrepubliken Nepal	Nepal; Den føderale demokratiske republikk Nepal		Nepal	Nepal demokráhtalaš lihttodásseváldi	Nepal, Nepalii		
Netherlands	Alankomaat; Alankomaiden kuningaskunta	Nederländerna; Konungariket Nederländerna	Nederland; Kongeriket Nederland		Nederlánda/Hollánda 	Nederlándda/Hollándda gonagasriika	Nederlándda/Hollándda, Nederlándii/Hollándii		
New Zealand	Uusi-Seelanti	Nya Zeeland	New Zealand el Ny-Zealand (også offisielt navn)		Aotearoa/Ođđa Selánda	(maiddái almmolaš namma) 	Aotearoa/Ođđa Selándda, Aotearoai/Ođđa Selándii	Aotearoai, Ođđa Selandii	
Nicaragua	Nicaragua; Nicaraguan tasavalta	Nicaragua; Republiken Nicaragua	Nicaragua; Republikken Nicaragua		Nicaragua	Nicaragua dásseváldi	Nicaragua; Nicaraguai		
Niger	Niger; Nigerin tasavalta	Niger; Republiken Niger	Niger; Republikken Niger		Niger	Niger dásseváldi	Niger, Nigerii		
Nigeria	Nigeria; Nigerian liittotasavalta	Nigeria; Förbundsrepubliken Nigeria	Nigeria; Forbundsrepublikken Nigeria		Nigeria	Nigeria lihttodásseváldi	Nigeria; Nigeriai		
Norway	Norja; Norjan kuningaskunta	Norge; Konungariket Norge	Norge; Kongeriket Norge		Norga	Norgga gonagasriika	Norgga,  Norgii		
Oman	Oman; Omanin sulttaanikunta	Oman; Sultanatet Oman	Oman; Sultanatet Oman		Oman	Oman sultanáhta	Oman, Omanii		
Pakistan	Pakistan; Pakistanin islamilainen tasavalta	Pakistan; Islamiska republiken Pakistan	Pakistan;Den islamske republikk Pakistan		Pakistan	Pakistan islamlaš dásseváldi	Pakistan, Pakistanii		
Palau	Palau; Palaun tasavalta	Palau; Republiken Palau	Palau;Republikken Palau		Palau	Palau dásseváldi	Palau, Palauii		
Panama	Panama; Panaman tasavalta	Panama; Republiken Panama	Panama; Republikken Panama		Panama	Panama dásseváldi	Panama,  Panamai		
Papua New Guinea	Papua-Uusi-Guinea; Papua-Uuden-Guinean itsenäinen valtio	Papua Nya Guinea	Papua Ny-Guinea (også offisielt navn)		Papua Ođđa-Guinea	(maiddái almmolaš namma) 	Papua Ođđa-Guinea, Papua Ođđa-Guineai		
Paraguay	Paraguay; Paraguayn tasavalta	Paraguay; Republiken Paraguay	Paraguay; Republikken Paraguay		Paraguay	 Paraguay dásseváldi	Paraguay, Paraguayii		
Peru	Peru; Perun tasavalta	Peru; Republiken Peru	Peru; Republikken Peru		Peru; Peru dásseváldi	Peru dásseváldi	Peru, Peruii		
Philippines	Filippiinit; Filippiinien tasavalta	Filippinerna; Republiken Filippinerna	Filippinene (bm.)/Republikken Filippinane		Filipiinnat/Filipinat	Filipiinnaid/Filipiinnaid dásseváldi	Filipiinnaid/Filipinaid, Filipiinnaide/Filipinaide		
Poland	Puola; Puolan tasavalta	Polen; Republiken Polen	Polen; Republikken Polen		Polska	Polska dásseváldi	Polska, Polskii		
Portugal	Portugal; Portugalin tasavalta	Portugal; Republiken Portugal	Portugal; Republikken Portugal		Portugal	Portugal dásseváldi	Portugal, Portugalii		
Qatar	Qatar; Qatarin valtio	Qatar; Staten Qatar	Qatar; Staten Qatar		Qatar	Qatar stáhta	Quatar, Quatarii		
Republic of Korea	Etelä-Korea; Korean tasavalta	Sydafrika; Republiken Sydafrika	Sør-Korea; Republikken Sør-Korea		Lulli-Korea/Mátta-Korea	Korea dásseváldi	Lulli-Korea, Lulli-Koreai		
Republic of Moldova	Moldova; Moldovan tasavalta	Moldavien; Republiken Moldavien	Moldova; Republikken Moldova		Moldova	Moldova dásseváldi	Moldova, Moldovai		
Romania	Romania	Rumänien	Romania(også offisielt navn)		Romania/Románia	(maiddái almmolaš namma) 	Romania,Romaniai		
Russian Federation	Venäjä; Venäjän federaatio	Ryssland; Ryska federationen	Russland; Den russiske føderasjon		Ruošša 	Ruošša federašuvdna	Ruošša, Ruššii		
Rwanda	Ruanda; Ruandan tasavalta	Rwanda; Republiken Rwanda	Rwanda; Republikken Rwanda		Rwanda	Rwanda dásseváldi	Rwanda, Rwandai		
Saint Kitts and Nevis	Saint Kitts ja Nevis,Saint Kitts(in) ja Nevisin federaatio	Saint Kitts och Nevis; Federationen Saint Kitts och Nevis	(Føderasjonen) Saint (St.) Kitts og Nevis		Saint Kitts ja Nevis	Saint Kitts ja Nevis lihttostáhta	Saint Kittsii ja Nevisii		
Saint Lucia	Saint Lucia	Saint Lucia	Saint (St.) Lucia (også offisielt navn)		Saint Lucia	(maiddái almmolaš namma) 	Saint Lucia, Saint Luciai		
Saint Vincent and the Grenadines	Saint Vincent ja Grenadiinit	Saint Vincent och Grenadinerna	Saint (St.) Vincent og Grenadinene (også offisielt navn)		Saint Vincent ja Grenadiinnat	(maiddái almmolaš namma) 	Saint Vincentii ja Grenadiinnaid, Saint Vincentii ja Greandiinnaide		
Samoa	Samoa; Samoan itsenäinen valtio	Samoa; Självständiga staten Samoa	Samoa; Staten Samoa		Samoa	Samoa iehčanas stáhta	Samoa, Samoai		
San Marino	San Marino; San Marinon tasavalta	San Marino; Republiken San Marino	San Marino;Republikken San Marino		San Marino	San Marino dásseváldi	San Marino, San Marinoi		
