Engelasgiella	Suomagillii guhkes ja oanehaš (gáldu: Kotus)	Ruoŧagillii (utrikes namnbok, regeringen.se)	Dárogillii (bokmål). gáldu: Språkrådet)	Sámi GG mearkkašumit	Ávžžuhuvvon (dohkkehuvvon)		Sojaheapmi (Gen sing, ill sing)	Lassimearrádus	Čilgehus
Croatia	Kroatia; Kroatian tasavalta	Kroatien; Republiken Kroatien	Kroatia; Republikken Kroatia		Kroatia	Kroatia dásseváldi	Kroatia, Kroatiai		28.05.14 čoahkkima mearrádus gomihuvvo, danne go dán čoahkkimis lea prinsihppa mearrádus unnimus láhkai sámáiduhttit.
Cuba	Kuuba; Kuuban tasavalta	Kuba; Republiken Kuba	Cuba; Republikken Cuba	Suopma čállá K:ain, Norga C:ain	Cuba	Cuba dásseváldi	Cuba, Cubai		Geahča beavdegirjji mearrádusa, Cvai K
Cyprus	Kypros; Kyproksen tasavalta	Cypern; Republiken Cypern	Kypros; Republikken Kypros		Kypros	Kypros dásseváldi	Kypros, Kyprosii		Njuolggoloatna, riikkas čállet K:ain
Czech Republic	Tšekki; Tšekin tasavalta	Tjeckien; Republiken Tjeckien	Tsjekkia; Den tsjekkiske republikk		Čekkia	Čekkia dásseváldi	Čekkiai		Vuostáš bustáva lea njuolggoloatna.Muđui sámáidahttimis garvit sámáidahttima, ja čuovvut davviriikkalaš vuogi
Democratic People's Republic of Korea	Pohjois-Korea; Korean demokraattinen kansantasavalta	Nordkorea; Demokratiska folkrepubliken Korea	Nord-Korea; Den demokratiske folkerepublikk Korea		Davvi-Korea	Korea demokráhtalaš álbmotdásseváldi	Davvi-Korea, Davvi-Koreai		
Democratic Republic of the Congo	Kongon demokraattinen tasavalta; epävir. Kinshasan Kongo, Kongo-Kinshasa, Kongo; ent. Zaire	Demokratiska republiken Kongo	Kongo; Den demokratiske republikk Kongo		Kongo	Kongo demokráhtalaš dásseváldi	Kongo, Kongoi		
Denmark	Tanska; Tanskan kuningaskunta	Danmark; Konungariket Danmark	Danmark; Kongeriket Danmark		Dánmárku	Dánmárkku gonagasriika	Dánmárkku, Dánmárkui		Sajáiduvvan hápmi, dan dihte ii čuovo váldoprinsihpa, iige rievdaduvvo
Djibouti	Djibouti; Djiboutin tasavalta	Djibouti; Republiken Djibouti	Djibouti; Republikken Djibouti		Djibouti	Djibouti dásseváldi	Djiboutii, Djiboutii		Geahča beavdegirjji prinsihppamearrádusa i-loahppasaš rikkaid namat
Dominica	Dominica; Dominican yhteisö	Dominica; Samväldet Dominica	Dominica; Samveldet Dominica		Dominica	Dominica stáhtaidovttastupmi	Dominica, Dominicai		
Dominican Republic	Dominikaaninen tasavalta	Dominikanska republiken	Den dominikanske republikk (også offisielt navn)		Dominikána dásseváldi	(maiddái almmolaš namma) 	Dominikána dásseváldi, Dominikána dásseváldái		
Ecuador	Ecuador; Ecuadorin tasavalta	Ecuador; Republiken Ecuador	Ecuador; Republikken Ecuador		Ecuador	Ecuador dásseváldi	Ecuador, Ecuadorii		
Egypt	Egypti; Egyptin tasavalta	Egypten; Arabrepubliken Egypten	Egypt; Den arabiske republikk Egypt		Egypta	Egypta dásseváldi	Egypta, Egyptii		sajáiduvvan hápmi
El Salvador	El Salvador; El Salvadorin Tasavalta	El Salvador; Republiken El Salvador	El Salvador; Republikken El Salvador		El Salvador	 El Salvador dásseváldi	El Salvador, El Salvadorii		
Equatorial Guinea	Päiväntasaajan Guinea; Päiväntasaajan Guinean tasavalta	Ekvatorialguinea; Republiken Ekvatorialguinea	Ekvatorial-Guinea; Republikken Ekvatorial-Guinea		Ekváhtor-Guinea	Ekváhtor-Guinea dásseváldi	Ekváhtor-Guinea, Ekváhtor-Guineai		
Eritrea	Eritrea; Eritrean valtio	Eritrea; Staten Eritrea	Eritrea; Staten Eritrea		Eritrea	Eritrea stáhta	Eritrea, Eritreai		
Estonia	Viro; Viron tasavalta	Estland; Republiken Estland	Estland;Republikken Estland		Estteeana(n)	Estteeatnama dásseváldi	Estteeatnama, Estteeatnamii		
Ethiopia	Etiopia; Etiopian demokraattinen liittotasavalta	Etiopien; Demokratiska förbundsrepubliken Etiopien	Etiopia; Den føderale demokratiske republikk Etiopia		Etiopia	Etiopia demokráhtalaš lihttodásseváldi	Etiopia, Etiopiai		
Fiji	Fidži; Fidžin tasavalta	Fiji; Republiken Fiji	Fiji; Republikken Fijiøyene		Fiži	Fiži dásseváldi	Fiži, Fižii		Fiži álbmot jietnada ná: [ɸidʒi].ž válljejuvvo j sadjái
Finland	Suomi; Suomen tasavalta	Finland; Republiken Finland	Finland; Republikken Finland		Suopma	Suoma dásseváldi	Suoma, Supmii		
France	Ranska; Ranskan tasavalta	Frankrike; Republiken Frankrike	Frankrike;Republikken Frankrike		Frankriika	Frankriikka dásseváld	Frankriikka, Frankriikii		
Gabon	Gabon; Gabonin tasavalta	Gabon; Republiken Gabon	Gabon; Republikken Gabon		Gabon	Gabon dásseváldi	Gabon, Gabonii		
Gambia	Gambia;  Gambian tasavalta	Gambia; Republiken Gambia	Gambia;Republikken Gambia		Gambia	Gambia dásseváldi	Gambia, Gambiai		
Georgia	Georgia	Georgien	Georgia (også offisielt navn)		Georgia	Georgia 	Georgia, Georgiai		
Germany	Saksa; Saksan liittotasavalta	Tyskland; Förbundsrepubliken Tyskland	Tyskland; Forbundsrepublikken Tyskland		Duiska	Duiskka lihttodásseváldi	Duiskka, Duiskii		
Ghana	Ghana; Ghanan tasavalta	Ghana; Republiken Ghana	Ghana; Republikken Ghana		Ghana	Ghana dásseváldi	Ghana, Ghanai		
Greece	Kreikka; Kreikan tasavalta; báldd. Helleenien tasavalta	Grekland; Republiken Grekland;	Hellas; Republikken Hellas		Greika	Greikka dásseváldi	Greikka, Greikii		
Grenada	Grenada	Grenada	Grenada (også offisielt navn)		Grenada	(maiddái almmolaš namma) 	Grenada, Grenadai		
Guatemala	Guatemala; Guatemalan tasavalta	Guatemala; Republiken Guatemala	Guatemala; Republikken Guatemala		Guatemala	Guatemala dásseváldi	Guatemala, Guatemalai		
Guinea	Guinea; Guinean tasavalta	Guinea; Republiken Guinea	Guinea; Republikken Guinea		Guinea	Guinea dásseváldi	Guinea, Guineai		
Guinea-Bissau	Guinea-Bissau; Guinea-Bissaun tasavalta	Guinea-Bissau; Republiken Guinea-Bissau	Guinea-Bissau; Republikken Guinea-Bissau		Guinea-Bissau	Guinea-Bissau dásseváldi	Guinea-Bissau, Guinea-Bissauii		Genitiivas ii galgga a, bárahisstávval sániin sáhttá guođđit a. Illatiivvas galget guokte i.
Guyana	Guyana;Guyanan tasavalta; báldd. Guyanan kooperatiivinen tasavalta	Guyana; Republiken Guyana	Guyana; Den kooperative republikk Guyana		Guyana	Guyana dásseváldi 	Guyana, Guyanai		
Haiti	Haiti, Haitin Tasavalta	Haiti; Republiken Haiti	Haiti; Republikken Haiti		Haiti	Haiti dásseváldi	Haiti, Haitii		Geahča beavdegirjji prinsihppamearrádusa i-loahppasaš rikkaid namat
Honduras	Honduras; Hondurasin tasavalta	Honduras; Republiken Honduras	Honduras; Republikken Honduras		Honduras	Honduras dásseváldi	Honduras, Hondurasii		
